Node	Present	Multi	Gain	Loss	Expansions	Contractions	Group	Label
Acidithiobacillus ferrivorans SS3	2002	261	646.9718907	488.5754042	114.6163575	11.19662237	Outgroup	
Neisseria meningitidis MC58	1415	122	250.6384323	806.5788922	54.37894833	19.27001295	Outgroup	
Burkholderia pseudomallei K96243	3492	636	1703.214034	182.1544937	284.5918894	6.068299827	Outgroup	
Thioalkalivibrio nitratireducens DSM 14	2400	260	829.1118182	595.7947094	108.5000973	17.29003899	Gamma	
Nevskia soli DSM 19509	3135	487	1382.213422	413.8963129	201.8440682	13.30767954	Gamma	
Methylomonas denitrificans FJG1	2860	416	1135.829894	477.3191227	173.5020337	15.31377515	Gamma	
Piscirickettsia salmonis LF 89 ATCC VR	1657	221	454.8523478	461.2356387	89.21310955	11.68758859	Piscirickettsia	
Gammaproteobacteria bacterium 39 13	2402	165	231.7338161	217.9396877	76.93452304	9.349618187	Berkiella	
Coxiellaceae bacterium HT99	2393	202	184.7505964	179.956468	100.451579	10.37239987	Berkiella	
Coxiellaceae bacterium CC99	1981	99	190.4517593	167.7716041	59.01307087	8.617629408	Berkiella	
TARA PSE MAG 00004	1522	70	276.0909957	474.7531883	33.79065822	12.61200104	Legionella	
Legionellales bacterium RIFCSPHIGHO2 12	1460	55	234.8327847	575.264189	32.13434965	11.03558866	Legionella	
Legionella geestiana ATCC 49504	1951	76	269.5248618	580.1127784	38.45721786	23.76047854	Legionella	
Candidatus Legionella polyplacis	467	3	2.030508333	1724.769399	2.999311878	1.20039675	Legionella	
Legionella fairfieldensis ATCC 49588	2113	96	316.4661368	454.8042184	40.54437273	19.63725564	Legionella	
Tatlockia micdadei ATCC33218	2666	104	199.052429	127.8680193	37.7132043	10.89679257	Legionella	
Legionella maceachernii PX 1 G2 E2	2784	139	373.3683075	184.1838978	59.47626705	14.03330125	Legionella	
Legionella massiliensis LegA	3029	226	739.4603589	287.4633777	78.38735364	17.56913979	Legionella	
Legionella nautarum ATCC 49506	2869	138	270.8953718	87.11465469	38.69766567	5.703409701	Legionella	
Legionella drozanskii LLAP 1 ATCC 70099	2838	133	291.7151519	138.9344349	47.3378591	12.70063633	Legionella	
Legionella tunisiensis LegM	2963	419	442.7024844	172.3775201	326.8334774	10.17427368	Legionella	
Legionella feeleii WO 44C	2894	136	298.3109879	96.98602365	53.26465165	10.52846269	Legionella	
Legionella lansingensis DSM 19556 ATCC	2418	72	346.0050368	364.9150347	32.66313653	11.51954817	Legionella	
Legionella jordanis BL 540	2547	101	332.8758335	222.7858314	53.17375454	10.71619885	Legionella	
Legionella jamestowniensis JA 26 G1 E2	2690	113	282.5461621	251.1044762	48.86888441	14.24717295	Legionella	
