"Name"	"ShortName"	"Length"	"GC-content"	"Present Markers"	"Completeness"	"Redudance"	"CompletenessW"	"RedudanceW"	"N50"	"L50"	"N90"	"L90"	"Source"	"Source of assembly"	"Accession number"	"In Gamma105?"	"Group"	"Index"
"Aquicella siphonis SGT-108"	"Aquicella_Siphonis"	2833188	47.82	139	1	1	1	1	2411764	1	421424	2	"Spa Borehole, Sao Gemil, Portugal"	"This study"	"ERZ780935"	"no"	"Aquicella"	1
"Aquicella lusitana SGT-39"	"Aquicella_Lusitana"	2624892	44.09	139	1	1.014	1	1.023	2154315	1	281037	2	"Spa Borehole, Sao Gemil, Portugal"	"This study"	"ERZ780934"	"yes"	"Aquicella"	2
"Gammaproteobacteria bacterium GWE2_42_36"	"Gammaproteobacteria_bacterium_GWE2_42_3_1"	1370507	42.04	121	0.871	1	0.851	1	20095	22	8097	64	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001801305.1"	"yes"	"Aquicella"	14
"Gammaproteobacteria bacterium GWF2_41_13"	"Gammaproteobacteria_bacterium_GWF2_41_1_1"	1220045	41.21	104	0.748	1.01	0.726	1.017	21642	19	8021	57	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001801315.1"	"no"	"Aquicella"	15
"Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_38_14"	"Gammaproteobacteria_bacterium_RIFCSPHI_1"	1694121	38	105	0.755	1.038	0.849	1.052	35208	14	13525	43	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001801545.1"	"yes"	"Aquicella"	18
"Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_41_20"	"Gammaproteobacteria_bacterium_RIFCSPHI__3"	2033387	40.79	139	1	1	1	1	79571	8	20305	26	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001801575.1"	"no"	"Aquicella"	20
"Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_42_10"	"Gammaproteobacteria_bacterium_RIFCSPHI__4"	1431043	41.99	126	0.906	1.024	0.948	1.021	22832	21	7861	63	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001801625.1"	"no"	"Aquicella"	21
"Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_43_28"	"Gammaproteobacteria_bacterium_RIFCSPHI__6"	1457137	43.1	122	0.878	1.025	0.819	1.051	15545	27	7726	78	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001801635.1"	"no"	"Aquicella"	23
"Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_45_12"	"Gammaproteobacteria_bacterium_RIFCSPHI__7"	1307828	45.18	112	0.806	1.018	0.726	1.035	30223	15	12893	40	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001801665.1"	"no"	"Aquicella"	24
"Gammaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_42_13"	"Gammaproteobacteria_bacterium_RIFCSPHI_24"	1477790	41.95	133	0.957	1.023	0.932	1.028	25272	21	7944	63	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001801405.1"	"no"	"Aquicella"	27
"Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_35_23"	"Gammaproteobacteria_bacterium_RIFCSPHI_25"	2398516	35.04	137	0.986	1	0.966	1	151277	6	43510	16	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001801465.1"	"yes"	"Aquicella"	28
"Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_37_14"	"Gammaproteobacteria_bacterium_RIFCSPHI_27"	2537316	37	119	0.856	1.059	0.949	1.071	53709	14	9136	57	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001801485.1"	"yes"	"Aquicella"	30
"Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_37_34"	"Gammaproteobacteria_bacterium_RIFCSPHI_28"	1706887	37.37	133	0.957	1.015	0.949	1.024	16815	37	8032	93	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001801495.1"	"no"	"Aquicella"	31
"Rifle_ACD_contigs_ACD45_151"	"Rifle_ACD_contigs_ACD45_151"	2282068	38.99	103	0.741	1.223	0.803	1.281	9025	67	2553	279	"Rifle, Colorado"	"Wrighton et al. 2012"	"ACD45"	"yes"	"Aquicella"	37
"Rifle_ACD_contigs_ACD46_373"	"Rifle_ACD_contigs_ACD46_373"	2418496	35.76	101	0.727	1.03	0.667	1.045	8859	76	2722	281	"Rifle, Colorado"	"Wrighton et al. 2012"	"ACD46"	"no"	"Aquicella"	38
"Rifle_ACD_contigs_ACD60_47"	"Rifle_ACD_contigs_ACD60_47"	1945659	38.97	115	0.827	1.078	0.917	1.068	42134	14	18370	41	"Rifle, Colorado"	"Wrighton et al. 2012"	"ACD60"	"no"	"Aquicella"	39
"Gammaproteobacteria bacterium 39-13"	"Gammaproteobacteria_bacterium_39_13"	3594628	38.64	137	0.986	1	0.968	1	75687	13	26417	43	"Bioreactor"	"Kantor et al. 2016"	"GCA_001898235.1"	"no"	"Berkiella"	7
"Candidatus Berkiella cookevillensis CC99"	"Coxiellaceae_bacterium_CC99"	2990285	37.92	136	0.978	1	0.961	1	225033	5	53639	16	"NCBI"	"NCBI"	"GCA_001431315.1"	"yes"	"Berkiella"	44
"Candidatus Berkiella aquae HT99"	"Coxiellaceae_bacterium_HT99"	3625323	39.45	138	0.993	1	1	1	242304	5	54353	18	"NCBI"	"NCBI"	"GCA_001431295.1"	"yes"	"Berkiella"	45
"Putative Legionellales ERR323788"	"Putative_Legionellales_ERR323788"	1754589	35.7	138	0.993	1	1	1	153032	4	54554	11	"Anopheles metagenome"	"This study"	"-"	"no"	"Coxiella"	3
"TARA PON MAG 00004"	"TARA_PON_MAG_00004"	1745536	41.07	133	0.957	1.008	0.905	1.013	36072	14	12017	49	"Tara Pacific Ocean, North American"	"Delmont et al. 2017"	"TARA_PON_MAG_00004"	"yes"	"Coxiella"	4
"Coxiella sp. DG_40"	"Coxiella_sp_DG_40"	2338617	39.79	120	0.863	1.15	0.885	1.144	47976	8	10138	56	"Bioreactor"	"Kantor et al. 2016"	"GCA_001302865.1"	"yes"	"Coxiella"	9
"Coxiella sp. RIFCSPHIGHO2_12_FULL_42_15"	"Coxiella_sp_RIFCSPHIGHO2_12_FULL_42_15"	1638237	42.05	118	0.849	1	0.791	1	45668	10	15787	34	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001797285.1"	"yes"	"Coxiella"	11
"Coxiella sp. RIFCSPHIGHO2_12_FULL_44_14"	"Coxiella_sp_RIFCSPHIGHO2_12_FULL_44_14"	1572714	43.58	127	0.914	1.079	0.885	1.082	32361	16	11659	44	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001795425.1"	"no"	"Coxiella"	12
"Gammaproteobacteria bacterium GWE2_37_16"	"Gammaproteobacteria_bacterium_GWE2_37_1_1"	1184118	37.33	102	0.734	1.01	0.631	1.001	11947	37	5879	95	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001801285.1"	"no"	"Coxiella"	13
"Gammaproteobacteria bacterium RBG_16_37_9"	"Gammaproteobacteria_bacterium_RBG_16_37_1"	1187666	36.45	108	0.777	1.009	0.87	1.022	25635	15	7616	49	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001801345.1"	"no"	"Coxiella"	16
"Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_38_11"	"Gammaproteobacteria_bacterium_RIFCSPHI"	2081169	37.75	106	0.763	1.019	0.811	1.036	38620	18	10254	57	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001801515.1"	"no"	"Coxiella"	17
"Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_41_15"	"Gammaproteobacteria_bacterium_RIFCSPHI__2"	2054013	40.51	114	0.82	1.088	0.737	1.172	24131	29	10449	80	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001802485.1"	"no"	"Coxiella"	19
"Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_42_13  "	"Gammaproteobacteria_bacterium_RIFCSPHI__5"	1257284	41.77	105	0.755	1.076	0.547	1.226	68698	5	21203	20	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001802505.1"	"no"	"Coxiella"	22
"Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_45_9"	"Gammaproteobacteria_bacterium_RIFCSPHI__8"	2355107	45.16	125	0.899	1.104	0.882	1.111	17268	43	6214	135	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001802525.1"	"no"	"Coxiella"	25
"Gammaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_39_13  "	"Gammaproteobacteria_bacterium_RIFCSPHI_23"	1671405	39.02	136	0.978	1	0.99	1	68520	10	19430	26	"Rifle, Colorado"	"Anantharaman et al. 2016"	"GCA_001802445.1"	"yes"	"Coxiella"	26
